Drug	Tumor	Replica	Day	Concentration	N_Dead	N_Live
5FU	5	1	1	20	80	80
5FU	5	1	1	20	66	125
5FU	5	1	1	20	70	133
5FU	5	1	1	20	83	133
5FU	5	1	1	20	73	136
5FU	5	1	1	20	76	123
5FU	5	1	1	20	111	140
5FU	5	1	1	20	97	140
5FU	5	1	1	20	98	144
5FU	5	1	1	50	88	99
5FU	5	1	1	50	84	99
5FU	5	1	1	50	105	97
5FU	5	1	1	50	91	93
5FU	5	1	1	50	86	67
5FU	5	1	1	50	33	25
5FU	5	1	1	50	60	44
5FU	5	1	1	50	24	38
5FU	5	1	3	10	32	23
5FU	5	1	3	10	38	27
5FU	5	1	3	10	59	26
5FU	5	1	3	10	70	41
5FU	5	1	3	10	61	24
5FU	5	1	3	10	71	42
5FU	5	1	3	10	53	37
5FU	5	1	3	10	49	26
5FU	5	1	3	20	62	46
5FU	5	1	3	20	69	51
5FU	5	1	3	20	74	45
5FU	5	1	3	20	56	37
5FU	5	1	3	20	50	35
5FU	5	1	3	20	48	27
5FU	5	1	3	20	47	40
5FU	5	1	3	20	46	26
5FU	5	2	1	20	56	57
5FU	5	2	1	20	63	64
5FU	5	2	1	20	48	53
5FU	5	2	1	20	66	51
5FU	5	2	1	20	46	38
5FU	5	2	1	20	63	51
5FU	5	2	1	20	59	51
5FU	5	2	1	20	65	59
5FU	5	2	1	50	57	104
5FU	5	2	1	50	82	127
5FU	5	2	1	50	88	131
5FU	5	2	1	50	62	149
5FU	5	2	1	50	140	148
5FU	5	2	1	50	66	151
5FU	5	2	1	50	87	111
5FU	5	2	3	10	46	33
5FU	5	2	3	10	45	39
5FU	5	2	3	10	61	44
5FU	5	2	3	10	65	53
5FU	5	2	3	10	41	25
5FU	5	2	3	10	73	42
5FU	5	2	3	10	50	32
5FU	5	2	3	10	41	31
Control	5	1	1	0	57	16
Control	5	1	1	0	54	11
Control	5	1	1	0	56	18
Control	5	1	1	0	55	26
Control	5	1	1	0	91	37
Control	5	1	1	0	112	61
Control	5	1	1	0	59	32
Control	5	1	3	0	59	48
Control	5	1	3	0	29	22
Control	5	1	3	0	29	33
Control	5	1	3	0	29	23
Control	5	1	3	0	24	31
Control	5	1	3	0	18	31
Control	5	1	3	0	18	40
Control	5	2	0	0	52	46
Control	5	2	0	0	39	56
Control	5	2	0	0	43	56
Control	5	2	0	0	52	71
Control	5	2	0	0	65	97
Control	5	2	0	0	89	109
Control	5	2	0	0	53	77
Control	5	2	0	0	49	71
Control	5	2	0	0	33	62
Control	5	2	1	0	21	1
Control	5	2	1	0	42	2
Control	5	2	1	0	14	4
Control	5	2	1	0	35	3
Control	5	2	1	0	28	1
Control	5	2	1	0	27	2
Control	5	2	3	0	30	2
Control	5	2	3	0	44	11
Control	5	2	3	0	54	21
Control	5	2	3	0	1	1
Control	5	2	3	0	4	1
Control	5	2	3	0	8	1
Control	5	2	3	0	5	1
Control	5	2	3	0	5	1
Control	5	2	3	0	6	1
Control	5	3	1	0	65	1
Control	5	3	1	0	64	1
Control	5	3	1	0	63	1
Control	5	3	1	0	70	1
Control	5	3	1	0	96	1
Control	5	3	1	0	93	1
Control	5	3	1	0	127	1
Control	5	3	1	0	64	1
Control	5	3	1	0	87	62
Control	5	3	3	0	53	24
Control	5	3	3	0	55	23
Control	5	3	3	0	32	22
Control	5	3	3	0	27	24
Control	5	3	3	0	33	21
Control	5	3	3	0	48	39
Control	5	3	3	0	33	24
Control	5	3	3	0	35	23
5FU	6	1	1	1	31	25
5FU	6	1	1	1	26	29
5FU	6	1	1	1	13	14
5FU	6	1	1	1	14	20
5FU	6	1	1	1	18	25
5FU	6	1	1	1	9	12
5FU	6	1	1	1	11	14
5FU	6	1	1	1	3	19
5FU	6	1	1	1	1	16
5FU	6	1	1	10	29	37
5FU	6	1	1	10	24	33
5FU	6	1	1	10	31	39
5FU	6	1	1	10	22	32
5FU	6	1	1	10	23	36
5FU	6	1	1	10	20	23
5FU	6	1	1	10	35	29
5FU	6	1	1	10	24	37
5FU	6	1	1	10	31	48
5FU	6	1	1	20	46	50
5FU	6	1	1	20	49	51
5FU	6	1	1	20	37	41
5FU	6	1	1	20	48	49
5FU	6	1	1	20	52	44
5FU	6	1	1	20	24	27
5FU	6	1	1	20	33	29
5FU	6	1	1	20	43	48
5FU	6	1	1	20	39	29
5FU	6	1	1	50	41	75
5FU	6	1	1	50	58	69
5FU	6	1	1	50	44	57
5FU	6	1	1	50	41	56
5FU	6	1	1	50	29	62
5FU	6	1	1	50	30	44
5FU	6	1	1	50	24	65
5FU	6	1	1	50	27	61
5FU	6	1	1	50	30	56
5FU	6	1	2	1	9	61
5FU	6	1	2	1	12	63
5FU	6	1	2	1	15	63
5FU	6	1	2	1	19	74
5FU	6	1	2	1	29	76
5FU	6	1	2	1	30	42
5FU	6	1	2	1	36	66
5FU	6	1	2	1	34	68
5FU	6	1	2	10	54	155
5FU	6	1	2	10	30	39
5FU	6	1	2	10	58	157
5FU	6	1	2	10	70	112
5FU	6	1	2	10	47	73
5FU	6	1	2	20	34	34
5FU	6	1	2	20	25	29
5FU	6	1	2	20	14	14
5FU	6	1	2	20	16	26
5FU	6	1	2	20	7	11
5FU	6	1	2	20	10	18
5FU	6	1	2	20	4	9
5FU	6	1	2	50	10	9
5FU	6	1	2	50	14	19
5FU	6	1	2	50	13	15
