Drug	Tumor	Replica	Day	Concentration	N_Dead	N_Live
Control	4	1	0	0	18	133
Control	4	1	0	0	41	194
Control	4	1	0	0	45	206
Control	4	1	0	0	45	203
Control	4	1	0	0	33	183
Control	4	1	0	0	36	159
Control	4	1	0	0	32	167
Control	4	1	0	0	32	157
Control	4	1	0	0	26	117
Control	4	1	1	0	48	115
Control	4	1	1	0	46	117
Control	4	1	1	0	49	109
Control	4	1	1	0	31	100
Control	4	1	1	0	29	81
Control	4	1	1	0	29	82
Control	4	1	1	0	20	87
Control	4	1	1	0	41	88
Control	4	1	2	0	13	47
Control	4	1	2	0	17	58
Control	4	1	2	0	14	84
Control	4	1	2	0	16	75
Control	4	1	2	0	17	80
Control	4	1	2	0	13	65
Control	4	1	2	0	11	57
Control	4	1	2	0	16	53
Control	4	1	3	0	11	33
Control	4	1	3	0	8	17
Control	4	1	3	0	13	31
Control	4	1	3	0	13	20
Control	4	1	3	0	9	18
Control	4	1	3	0	4	24
Control	4	1	3	0	6	9
Control	4	1	3	0	11	16
Control	4	1	3	0	13	11
Control	4	2	0	0	2	105
Control	4	2	0	0	1	66
Control	4	2	0	0	2	63
Control	4	2	0	0	1	67
Control	4	2	0	0	1	40
Control	4	2	0	0	2	45
Control	4	2	0	0	1	45
Control	4	2	1	0	21	75
Control	4	2	1	0	27	90
Control	4	2	1	0	25	105
Control	4	2	1	0	43	113
Control	4	2	1	0	48	124
Control	4	2	1	0	23	115
Control	4	2	1	0	20	86
Control	4	2	1	0	23	80
Control	4	2	2	0	38	129
Control	4	2	2	0	47	132
Control	4	2	2	0	45	146
Control	4	2	2	0	33	125
Control	4	2	2	0	22	133
Control	4	2	2	0	20	118
Control	4	2	2	0	5	106
Control	4	2	2	0	3	107
Control	4	2	3	0	17	37
Control	4	2	3	0	15	29
Control	4	2	3	0	11	34
Control	4	2	3	0	11	21
Control	4	2	3	0	10	22
Control	4	2	3	0	11	27
Control	4	2	3	0	10	29
Control	4	2	3	0	8	16
Control	4	2	3	0	12	18
