Drug	Replica	Day	Tumor_volume
Control	1	1	63
Control	2	1	75
Control	3	1	108
Control	4	1	126
Control	5	1	108
Control	1	4	108
Control	2	4	126
Control	3	4	196
Control	4	4	172
Control	5	4	108
Control	1	8	172
Control	2	8	196
Control	3	8	196
Control	4	8	196
Control	5	8	126
Control	1	11	288
Control	2	11	288
Control	3	11	288
Control	4	11	288
Control	5	11	196
Control	1	15	320
Control	2	15	446
Control	3	15	550
Control	4	15	365
Control	5	15	405
Control	1	18	559
Control	2	18	527
Control	3	18	650
Control	4	18	500
Control	5	18	650
Control	1	22	787
Control	2	22	650
Control	3	22	1268
Control	4	22	550
Control	5	22	650
Control	1	25	908
Control	2	25	1008
Control	3	25	1470
Paclitaxel	1	1	63
Paclitaxel	2	1	63
Paclitaxel	3	1	196
Paclitaxel	4	1	63
Paclitaxel	5	1	108
Paclitaxel	1	4	63
Paclitaxel	2	4	63
Paclitaxel	3	4	126
Paclitaxel	4	4	63
Paclitaxel	5	4	126
Paclitaxel	1	8	63
Paclitaxel	2	8	75
Paclitaxel	3	8	144
Paclitaxel	4	8	75
Paclitaxel	5	8	172
Paclitaxel	1	11	40
Paclitaxel	2	11	63
Paclitaxel	3	11	126
Paclitaxel	4	11	40
Paclitaxel	5	11	196
Paclitaxel	1	15	40
Paclitaxel	2	15	63
Paclitaxel	3	15	108
Paclitaxel	4	15	4
Paclitaxel	5	15	196
Paclitaxel	1	18	32
Paclitaxel	2	18	63
Paclitaxel	3	18	63
Paclitaxel	4	18	1
Paclitaxel	5	18	172
Paclitaxel	1	22	4
Paclitaxel	2	22	63
Paclitaxel	3	22	14
Paclitaxel	4	22	0
Paclitaxel	5	22	172
Paclitaxel	1	25	4
Paclitaxel	2	25	32
Paclitaxel	3	25	14
Paclitaxel	4	25	0
