Drug	Replica	Day	Tumor_volume
Control	1	1	63
Control	2	1	75
Control	3	1	196
Control	4	1	63
Control	5	1	63
Control	1	4	63
Control	2	4	74
Control	3	4	196
Control	4	4	63
Control	5	4	63
Control	1	8	405
Control	2	8	1099
Control	3	8	1470
Control	4	8	63
Control	5	8	847
Control	1	11	700
Control	2	11	1470
Control	3	11	1800
Control	4	11	63
Control	5	11	847
Control	1	15	1268
Control	2	15	2176
Control	3	15	3564
Control	4	15	63
Control	5	15	2250
5FU	1	1	126
5FU	2	1	108
5FU	3	1	75
5FU	4	1	126
5FU	5	1	63
5FU	1	4	126
5FU	2	4	108
5FU	3	4	75
5FU	4	4	126
5FU	5	4	63
5FU	1	8	32
5FU	2	8	32
5FU	3	8	32
5FU	4	8	63
5FU	5	8	63
5FU	1	11	14
5FU	2	11	0
5FU	3	11	14
5FU	4	11	14
5FU	5	11	32
5FU	1	15	1
5FU	2	15	0
5FU	3	15	14
5FU	4	15	14
5FU	5	15	32
