Drug	Replica	Day	Tumor_volume
Control	1	1	126
Control	2	1	63
Control	3	1	63
Control	4	1	126
Control	5	1	63
Control	6	1	108
Control	7	1	108
Control	8	1	75
Control	1	4	196
Control	2	4	108
Control	3	4	126
Control	4	4	256
Control	5	4	75
Control	6	4	288
Control	7	4	75
Control	8	4	75
Control	1	8	221
Control	2	8	196
Control	3	8	126
Control	4	8	288
Control	5	8	75
Control	6	8	365
Control	7	8	126
Control	8	8	75
Control	1	11	320
Control	2	11	196
Control	3	11	172
Control	4	11	405
Control	5	11	75
Control	6	11	405
Control	7	11	196
Control	8	11	126
Control	1	15	446
Control	2	15	256
Control	3	15	256
Control	4	15	600
Control	5	15	108
Control	6	15	726
Control	7	15	288
Control	8	15	221
Control	1	18	550
Control	2	18	256
Control	3	18	196
Control	4	18	787
Control	5	18	126
Control	6	18	1183
Control	7	18	352
Control	8	18	221
Control	1	22	600
Control	2	22	527
Control	3	22	288
Control	4	22	1183
Control	5	22	256
Control	6	22	1470
Control	7	22	600
Control	8	22	320
Control	1	25	908
Control	2	25	1080
Control	3	25	550
Control	4	25	1183
Control	5	25	288
Control	6	25	1470
Control	7	25	600
Control	8	25	352
Control	1	29	1080
Control	2	29	1352
Control	3	29	936
Control	4	29	1800
Control	5	29	288
Control	6	29	2176
Control	7	29	847
Control	8	29	486
Control	1	32	1080
Control	2	32	1352
Control	3	32	936
Control	4	32	1800
Control	5	32	320
Control	6	32	2304
Control	7	32	908
Control	8	32	650
TDXD	1	1	75
TDXD	2	1	75
TDXD	3	1	75
TDXD	4	1	196
TDXD	5	1	126
TDXD	6	1	75
TDXD	7	1	75
TDXD	8	1	75
TDXD	1	4	196
TDXD	2	4	172
TDXD	3	4	172
TDXD	4	4	221
TDXD	5	4	172
TDXD	6	4	108
TDXD	7	4	75
TDXD	8	4	75
TDXD	1	8	172
TDXD	2	8	126
TDXD	3	8	126
TDXD	4	8	196
TDXD	5	8	172
TDXD	6	8	75
TDXD	7	8	63
TDXD	8	8	63
TDXD	1	11	172
TDXD	2	11	172
TDXD	3	11	196
TDXD	4	11	196
TDXD	5	11	126
TDXD	6	11	63
TDXD	7	11	63
TDXD	8	11	32
TDXD	1	15	126
TDXD	2	15	126
TDXD	3	15	172
TDXD	4	15	172
TDXD	5	15	75
TDXD	6	15	32
TDXD	7	15	14
TDXD	8	15	14
TDXD	1	18	75
TDXD	2	18	126
TDXD	3	18	172
TDXD	4	18	196
TDXD	5	18	40
TDXD	6	18	40
TDXD	7	18	4
TDXD	8	18	4
TDXD	1	22	32
TDXD	2	22	75
TDXD	3	22	75
TDXD	4	22	144
TDXD	5	22	40
TDXD	6	22	18
TDXD	7	22	4
TDXD	8	22	1
TDXD	1	25	18
TDXD	2	25	75
TDXD	3	25	75
TDXD	4	25	172
TDXD	5	25	32
TDXD	6	25	14
TDXD	7	25	1
TDXD	8	25	0
TDXD	1	29	14
TDXD	2	29	75
TDXD	3	29	63
TDXD	4	29	126
TDXD	5	29	32
TDXD	6	29	4
TDXD	7	29	1
TDXD	8	29	0
TDXD	1	32	4
TDXD	2	32	63
TDXD	3	32	32
TDXD	4	32	75
TDXD	5	32	14
TDXD	6	32	4
TDXD	7	32	0
TDXD	8	32	0
