Drug	Replica	Day	Tumor_volume
Control	1	1	126
Control	2	1	126
Control	3	1	108
Control	4	1	75
Control	5	1	126
Control	6	1	63
Control	7	1	63
Control	8	1	75
Control	1	4	288
Control	2	4	196
Control	3	4	196
Control	4	4	221
Control	5	4	288
Control	6	4	126
Control	7	4	126
Control	8	4	221
Control	1	8	550
Control	2	8	288
Control	3	8	405
Control	4	8	352
Control	5	8	405
Control	6	8	172
Control	7	8	172
Control	8	8	320
Control	1	11	726
Control	2	11	405
Control	3	11	405
Control	4	11	600
Control	5	11	550
Control	6	11	288
Control	7	11	196
Control	8	11	486
Control	1	15	936
Control	2	15	446
Control	3	15	726
Control	4	15	787
Control	5	15	726
Control	6	15	405
Control	7	15	256
Control	8	15	700
Control	1	18	1008
Control	2	18	550
Control	3	18	864
Control	4	18	1008
Control	5	18	936
Control	6	18	550
Control	7	18	365
Control	8	18	700
Control	1	22	1268
Control	2	22	600
Control	3	22	936
Control	4	22	1470
Control	5	22	1268
Control	6	22	787
Control	7	22	550
Control	8	22	968
Carboplatin	1	1	63
Carboplatin	2	1	63
Carboplatin	3	1	126
Carboplatin	4	1	75
Carboplatin	1	4	172
Carboplatin	2	4	172
Carboplatin	3	4	196
Carboplatin	4	4	126
Carboplatin	1	8	256
Carboplatin	2	8	288
Carboplatin	3	8	196
Carboplatin	4	8	221
Carboplatin	1	11	405
Carboplatin	2	11	288
Carboplatin	3	11	320
Carboplatin	4	11	320
Carboplatin	1	15	726
Carboplatin	2	15	288
Carboplatin	3	15	446
Carboplatin	4	15	446
Carboplatin	1	18	787
Carboplatin	2	18	446
Carboplatin	3	18	550
Carboplatin	4	18	486
Carboplatin	1	22	1008
Carboplatin	2	22	486
Carboplatin	3	22	600
Carboplatin	4	22	650
