Drug	Tumor	Replica	Day	Concentration	N_Dead	N_Live
TDXD	1	1	4	0.01	1	10
TDXD	1	1	4	0.01	1	13
TDXD	1	1	4	0.01	1	19
TDXD	1	1	4	0.01	1	18
TDXD	1	1	4	0.01	1	29
TDXD	1	1	4	0.01	1	26
TDXD	1	1	4	0.01	1	14
TDXD	1	1	4	0.01	1	5
TDXD	1	1	4	0.1	1	14
TDXD	1	1	4	0.1	1	8
TDXD	1	1	4	0.1	1	9
TDXD	1	1	4	0.1	1	10
TDXD	1	1	4	0.1	1	4
TDXD	1	1	4	0.1	1	1
TDXD	1	1	4	0.1	1	1
TDXD	1	1	4	0.5	2	16
TDXD	1	1	4	0.5	1	22
TDXD	1	1	4	0.5	1	12
TDXD	1	1	4	0.5	1	5
TDXD	1	1	4	0.5	1	1
TDXD	1	1	4	0.5	1	1
TDXD	1	1	4	1	2	16
TDXD	1	1	4	1	1	22
TDXD	1	1	4	1	1	12
TDXD	1	1	4	10	1	15
TDXD	1	1	4	10	1	8
TDXD	1	1	4	10	1	2
TDXD	1	1	4	10	1	2
TDXD	1	1	4	10	1	5
TDXD	1	1	4	10	1	6
TDXD	1	1	4	100	1	5
TDXD	1	1	4	100	1	3
TDXD	1	1	4	100	1	26
TDXD	1	1	4	100	3	62
TDXD	1	1	4	100	4	49
TDXD	1	1	4	100	2	21
TDXD	1	1	4	1000	1	74
TDXD	1	1	4	1000	1	69
TDXD	1	1	4	1000	1	69
TDXD	1	1	4	1000	1	74
TDXD	1	2	4	0.01	4	1
TDXD	1	2	4	0.01	1	4
TDXD	1	2	4	0.01	2	29
TDXD	1	2	4	0.01	1	24
TDXD	1	2	4	0.01	1	30
TDXD	1	2	4	0.01	1	5
TDXD	1	2	4	0.01	1	5
TDXD	1	2	4	0.1	1	8
TDXD	1	2	4	0.1	1	6
TDXD	1	2	4	0.1	1	7
TDXD	1	2	4	0.1	1	20
TDXD	1	2	4	0.1	1	10
TDXD	1	2	4	0.1	1	11
TDXD	1	2	4	0.1	1	11
TDXD	1	2	4	0.5	1	7
TDXD	1	2	4	0.5	1	1
TDXD	1	2	4	0.5	1	10
TDXD	1	2	4	0.5	1	6
TDXD	1	2	4	0.5	1	9
TDXD	1	2	4	0.5	1	6
TDXD	1	2	4	0.5	1	6
TDXD	1	2	4	1	4	85
TDXD	1	2	4	1	4	54
TDXD	1	2	4	1	2	40
TDXD	1	2	4	1	1	43
TDXD	1	2	4	1	1	47
TDXD	1	2	4	1	1	47
TDXD	1	2	4	1	1	47
TDXD	1	2	4	10	1	6
TDXD	1	2	4	10	1	6
TDXD	1	2	4	10	1	8
TDXD	1	2	4	10	1	3
TDXD	1	2	4	10	1	6
TDXD	1	2	4	10	1	5
TDXD	1	2	4	100	2	21
TDXD	1	2	4	100	1	34
TDXD	1	2	4	100	1	24
TDXD	1	2	4	100	1	34
TDXD	1	2	4	100	1	34
TDXD	1	2	4	100	2	20
TDXD	1	2	4	1000	2	65
TDXD	1	2	4	1000	2	67
TDXD	1	2	4	1000	2	77
TDXD	1	2	4	1000	2	81
TDXD	1	2	4	1000	3	79
TDXD	1	2	4	1000	3	82
TDXD	1	2	4	1000	3	85
TDXD	1	2	4	1000	5	85
Control	2	1	0	0	1	11
Control	2	1	0	0	1	21
Control	2	1	0	0	1	43
Control	2	1	0	0	2	58
Control	2	1	0	0	4	78
Control	2	1	0	0	2	65
Control	2	1	0	0	1	15
Control	2	1	4	0	2	5
Control	2	1	4	0	2	6
Control	2	1	4	0	1	3
Control	2	1	4	0	1	4
Control	2	1	4	0	1	4
TDXD	2	1	4	0.01	4	1
TDXD	2	1	4	0.01	1	4
TDXD	2	1	4	0.01	2	29
TDXD	2	1	4	0.01	1	24
TDXD	2	1	4	0.01	1	30
TDXD	2	1	4	0.01	1	5
TDXD	2	1	4	0.01	1	5
TDXD	2	1	4	0.1	1	5
TDXD	2	1	4	0.1	1	3
