Drug	Tumor	Replica	Day	Concentration	N_Dead	N_Live
Carboplatin	6	1	1	1	22	188
Carboplatin	6	1	1	1	26	168
Carboplatin	6	1	1	1	21	189
Carboplatin	6	1	1	1	25	179
Carboplatin	6	1	1	1	20	159
Carboplatin	6	1	1	1	26	163
Carboplatin	6	1	1	1	10	161
Carboplatin	6	1	1	1	5	138
Carboplatin	6	1	1	1	4	127
Carboplatin	6	1	1	10	10	143
Carboplatin	6	1	1	10	15	148
Carboplatin	6	1	1	10	10	138
Carboplatin	6	1	1	10	16	123
Carboplatin	6	1	1	10	10	150
Carboplatin	6	1	1	10	14	174
Carboplatin	6	1	1	10	11	172
Carboplatin	6	1	1	10	18	192
Carboplatin	6	1	1	10	7	174
Carboplatin	6	1	1	20	65	176
Carboplatin	6	1	1	20	61	173
Carboplatin	6	1	1	20	65	199
Carboplatin	6	1	1	20	58	180
Carboplatin	6	1	1	20	50	155
Carboplatin	6	1	1	20	57	162
Carboplatin	6	1	1	20	72	194
Carboplatin	6	1	1	20	67	192
Carboplatin	6	1	1	20	75	209
Carboplatin	6	1	1	50	36	174
Carboplatin	6	1	1	50	37	174
Carboplatin	6	1	1	50	34	185
Carboplatin	6	1	1	50	32	186
Carboplatin	6	1	1	50	18	166
Carboplatin	6	1	1	50	33	162
Carboplatin	6	1	1	50	23	156
Carboplatin	6	1	1	50	31	156
Carboplatin	6	1	1	50	21	163
Carboplatin	6	1	2	1	16	39
Carboplatin	6	1	2	1	26	37
Carboplatin	6	1	2	1	5	31
Carboplatin	6	1	2	1	3	30
Carboplatin	6	1	2	1	13	46
Carboplatin	6	1	2	1	2	20
Carboplatin	6	1	2	1	3	13
Carboplatin	6	1	2	1	9	27
Carboplatin	6	1	2	10	14	59
Carboplatin	6	1	2	10	10	41
Carboplatin	6	1	2	10	12	51
Carboplatin	6	1	2	10	7	45
Carboplatin	6	1	2	10	15	56
Carboplatin	6	1	2	10	7	35
Carboplatin	6	1	2	10	9	35
Carboplatin	6	1	2	10	9	33
Carboplatin	6	1	2	10	6	25
