Drug	Tumor	Replica	Day	Concentration	N_Dead	N_Live
Cisplatin	3	1	3	1	25	35
Cisplatin	3	1	3	1	49	50
Cisplatin	3	1	3	1	43	52
Cisplatin	3	1	3	1	32	41
Cisplatin	3	1	3	1	35	41
Cisplatin	3	1	3	1	40	45
Cisplatin	3	1	3	1	38	53
Cisplatin	3	1	3	1	50	51
Cisplatin	3	1	3	1	37	40
Cisplatin	3	1	3	10	10	35
Cisplatin	3	1	3	10	10	38
Cisplatin	3	1	3	10	15	40
Cisplatin	3	1	3	10	13	48
Cisplatin	3	1	3	10	9	49
Cisplatin	3	1	3	10	11	45
Cisplatin	3	1	3	10	9	33
Cisplatin	3	1	3	10	9	40
Cisplatin	3	1	3	20	60	49
Cisplatin	3	1	3	20	41	26
Cisplatin	3	1	3	20	40	40
Cisplatin	3	1	3	20	43	35
Cisplatin	3	1	3	20	47	41
Cisplatin	3	1	3	20	55	54
Cisplatin	3	1	3	20	45	42
Cisplatin	3	1	3	20	35	37
Cisplatin	3	1	3	50	36	36
Cisplatin	3	1	3	50	47	58
Cisplatin	3	1	3	50	45	60
Cisplatin	3	1	3	50	39	46
Cisplatin	3	1	3	50	36	66
Cisplatin	3	1	3	50	28	39
Cisplatin	3	1	3	50	28	42
Cisplatin	3	1	3	50	34	51
Cisplatin	3	1	7	10	23	9
Cisplatin	3	1	7	10	10	8
Cisplatin	3	1	7	10	21	26
Cisplatin	3	1	7	10	40	22
Cisplatin	3	1	7	10	14	9
Cisplatin	3	1	7	10	14	16
Cisplatin	3	1	7	10	32	27
Cisplatin	3	1	7	10	26	22
Cisplatin	3	1	7	10	20	23
Cisplatin	3	1	7	50	41	16
Cisplatin	3	1	7	50	24	19
Cisplatin	3	1	7	50	21	29
Cisplatin	3	1	7	50	6	12
Cisplatin	3	1	7	50	10	15
Cisplatin	3	1	7	50	9	20
Cisplatin	3	1	7	50	14	23
Cisplatin	3	1	7	50	6	10
Cisplatin	3	1	7	50	15	21
Cisplatin	3	2	3	1	12	51
Cisplatin	3	2	3	1	10	44
Cisplatin	3	2	3	1	8	41
Cisplatin	3	2	3	1	3	16
Cisplatin	3	2	3	1	2	28
Cisplatin	3	2	3	1	6	63
Cisplatin	3	2	3	1	16	56
Cisplatin	3	2	3	1	8	33
Cisplatin	3	2	3	1	9	44
Cisplatin	3	2	3	10	12	41
Cisplatin	3	2	3	10	6	47
Cisplatin	3	2	3	10	13	39
Cisplatin	3	2	3	10	8	38
Cisplatin	3	2	3	10	7	40
Cisplatin	3	2	3	10	8	43
Cisplatin	3	2	3	10	4	37
Cisplatin	3	2	3	10	3	35
Cisplatin	3	2	3	50	56	62
Cisplatin	3	2	3	50	43	41
Cisplatin	3	2	3	50	22	42
Cisplatin	3	2	3	50	35	49
Cisplatin	3	2	3	50	14	33
Cisplatin	3	2	3	50	25	29
Cisplatin	3	2	3	50	18	37
Cisplatin	3	2	3	50	20	25
Cisplatin	3	2	3	50	54	46
Control	3	1	0	0	10	133
Control	3	1	0	0	8	165
Control	3	1	0	0	5	149
Control	3	1	0	0	6	124
Control	3	1	0	0	7	148
Control	3	1	0	0	11	141
Control	3	1	0	0	3	136
Control	3	1	0	0	7	130
Control	3	1	3	0	23	39
Control	3	1	3	0	17	32
Control	3	1	3	0	12	25
Control	3	1	3	0	13	29
Control	3	1	3	0	26	46
Control	3	1	3	0	20	30
Control	3	1	3	0	19	26
Control	3	1	3	0	29	46
Control	3	1	3	0	23	21
Control	3	1	7	0	31	21
Control	3	1	7	0	22	17
Control	3	1	7	0	32	39
Control	3	1	7	0	26	23
Control	3	1	7	0	28	23
Control	3	1	7	0	19	27
Control	3	1	7	0	28	36
Control	3	1	7	0	19	28
Control	3	1	7	0	30	32
Control	3	2	0	0	23	150
Control	3	2	0	0	8	141
Control	3	2	0	0	8	135
Control	3	2	0	0	2	144
Control	3	2	0	0	4	139
Control	3	2	0	0	5	111
Control	3	2	0	0	3	86
Control	3	2	0	0	26	164
Control	3	2	3	0	50	50
Control	3	2	3	0	43	36
Control	3	2	3	0	39	35
Control	3	2	3	0	38	52
Control	3	2	3	0	28	41
Control	3	2	3	0	41	40
Control	3	2	3	0	19	31
Control	3	2	3	0	23	34
Control	3	2	3	0	36	46
Cisplatin	2	1	1	1	174	282
Cisplatin	2	1	1	1	184	319
Cisplatin	2	1	1	1	183	280
Cisplatin	2	1	1	1	194	328
Cisplatin	2	1	1	1	155	310
Cisplatin	2	1	1	1	136	319
Cisplatin	2	1	1	1	117	300
Cisplatin	2	1	1	1	115	279
Cisplatin	2	1	1	1	155	253
Cisplatin	2	1	1	10	124	255
Cisplatin	2	1	1	10	102	266
Cisplatin	2	1	1	10	40	171
Cisplatin	2	1	1	10	59	223
Cisplatin	2	1	1	10	70	268
Cisplatin	2	1	1	10	55	235
Cisplatin	2	1	1	10	68	209
Cisplatin	2	1	1	10	73	214
Cisplatin	2	1	1	10	140	278
Cisplatin	2	1	1	20	199	372
Cisplatin	2	1	1	20	200	361
Cisplatin	2	1	1	20	163	303
Cisplatin	2	1	1	20	183	295
