Drug	Replica	Day	Tumor_volume
Control	1	1	62.5
Control	2	1	108
Control	3	1	62.5
Control	4	1	75
Control	5	1	62.5
Control	6	1	108
Control	7	1	62.5
Control	8	1	108
Control	9	1	108
Control	10	1	75
Control	11	1	62.5
Control	1	4	62.5
Control	2	4	256
Control	3	4	144
Control	4	4	405
Control	5	4	108
Control	6	4	288
Control	7	4	364.5
Control	8	4	288
Control	9	4	405
Control	10	4	144
Control	11	4	126
Control	1	7	126
Control	2	7	364.5
Control	3	7	288
Control	4	7	600
Control	5	7	256
Control	6	7	550
Control	7	7	786.5
Control	8	7	700
Control	9	7	786.5
Control	10	7	320
Control	11	7	288
Control	1	10	196
Control	2	10	726
Control	3	10	864
Control	4	10	1152
Control	5	10	405
Control	6	10	936
Control	7	10	1183
Control	8	10	1028.5
Control	9	10	1008
Control	10	10	648
Control	11	10	445.5
Control	1	14	445.5
Control	2	14	1352
Control	3	14	1568
Control	4	14	1859
Control	5	14	500
Control	6	14	1666
Control	7	14	1800
Control	8	14	1605.5
Control	9	14	1152
Control	10	14	850
Control	11	14	526.5
Control	1	18	600
Control	5	18	665.5
Control	9	18	2137.5
Control	10	18	1521
Control	11	18	847
Control	1	21	750
Control	5	21	650
Control	9	21	2137.5
Control	10	21	2560
Control	11	21	1152
Control	1	25	2137.5
Control	5	25	1008
Control	11	25	1862
Control	1	28	2250
Control	5	28	1152
Cisplatin	1	1	62.5
Cisplatin	2	1	40
Cisplatin	3	1	62.5
Cisplatin	4	1	48
Cisplatin	5	1	75
Cisplatin	6	1	62.5
Cisplatin	7	1	62.5
Cisplatin	8	1	40
Cisplatin	9	1	62.5
Cisplatin	10	1	62.5
Cisplatin	11	1	108
Cisplatin	1	4	108
Cisplatin	2	4	40
Cisplatin	3	4	126
Cisplatin	4	4	144
Cisplatin	5	4	245
Cisplatin	6	4	180
Cisplatin	7	4	126
Cisplatin	8	4	87.5
Cisplatin	9	4	62.5
Cisplatin	10	4	112.5
Cisplatin	11	4	144
Cisplatin	1	7	62.5
Cisplatin	2	7	40
Cisplatin	3	7	171.5
Cisplatin	4	7	196
Cisplatin	5	7	318.5
Cisplatin	6	7	196
Cisplatin	7	7	220.5
Cisplatin	8	7	196
Cisplatin	9	7	126
Cisplatin	10	7	162
Cisplatin	11	7	405
Cisplatin	1	10	75
Cisplatin	2	10	75
Cisplatin	3	10	320
Cisplatin	4	10	352
Cisplatin	5	10	544
Cisplatin	6	10	567
Cisplatin	7	10	486
Cisplatin	8	10	405
Cisplatin	9	10	171.5
Cisplatin	10	10	320
Cisplatin	11	10	550
Cisplatin	1	14	144
Cisplatin	2	14	13.5
Cisplatin	3	14	526.5
Cisplatin	4	14	486
Cisplatin	5	14	688.5
Cisplatin	6	14	750
Cisplatin	7	14	526.5
Cisplatin	8	14	220.5
Cisplatin	9	14	196
Cisplatin	10	14	416
Cisplatin	11	14	550
Cisplatin	1	18	144
Cisplatin	2	18	220.5
Cisplatin	3	18	1080
Cisplatin	4	18	700
Cisplatin	5	18	769.5
Cisplatin	6	18	907.5
Cisplatin	7	18	968
Cisplatin	8	18	600
Cisplatin	9	18	352
Cisplatin	10	18	567
Cisplatin	11	18	936
Cisplatin	1	21	256
Cisplatin	2	21	220.5
Cisplatin	3	21	1764
Cisplatin	4	21	750
Cisplatin	5	21	729
Cisplatin	6	21	1028.5
Cisplatin	7	21	1028.5
Cisplatin	8	21	786.5
Cisplatin	9	21	526.5
Cisplatin	10	21	700
Cisplatin	11	21	1267.5
Cisplatin	1	25	486
Cisplatin	2	25	352
Cisplatin	4	25	1296
Cisplatin	5	25	810
Cisplatin	6	25	1862
Cisplatin	7	25	1149.5
Cisplatin	8	25	1080
Cisplatin	9	25	786.5
Cisplatin	10	25	907.5
Cisplatin	11	25	1267.5
Cisplatin	1	28	445.5
Cisplatin	2	28	526.5
Cisplatin	4	28	1368
Cisplatin	5	28	850.5
Cisplatin	6	28	1960
Cisplatin	7	28	1368
Cisplatin	8	28	1800
Cisplatin	9	28	907.5
Cisplatin	10	28	700
Cisplatin	11	28	1267.5
