Drug	Tumor	Replica	Day	Concentration	N_Dead	N_Live
Control	2	3	0	0	36	113
Control	2	3	0	0	40	92
Control	2	3	0	0	28	113
Control	2	3	0	0	38	98
Control	2	3	0	0	28	116
Control	2	3	0	0	23	123
Control	2	3	0	0	33	117
Control	2	3	0	0	26	111
Control	2	2	4	0	1	6
Control	2	2	4	0	1	12
Control	2	2	4	0	1	4
Control	2	2	4	0	1	8
Control	2	2	4	0	11	19
Control	2	2	4	0	2	11
Control	2	2	4	0	1	2
Control	2	2	4	0	1	1
Control	2	2	4	0	1	3
Paclitaxel	2	1	4	50	2	1
Paclitaxel	2	1	4	50	9	1
Paclitaxel	2	1	4	50	7	1
Paclitaxel	2	1	4	50	27	1
Paclitaxel	2	1	4	50	12	1
Paclitaxel	2	1	4	50	5	1
5FU	3	1	4	50	75	1
5FU	3	1	4	50	1	28
5FU	3	1	4	50	2	40
5FU	3	1	4	50	1	36
5FU	3	1	4	50	2	40
5FU	3	1	4	50	1	32
5FU	3	1	4	50	2	26
5FU	3	1	4	50	1	20
5FU	3	1	4	50	1	16
5FU	3	1	4	50	1	14
Carboplatin	3	1	4	50	31	69
Carboplatin	3	1	4	50	18	62
Carboplatin	3	1	4	50	53	97
Carboplatin	3	1	4	50	47	93
Carboplatin	3	1	4	50	54	81
Carboplatin	3	1	4	50	47	77
Carboplatin	3	1	4	50	43	70
Carboplatin	3	1	4	50	45	62
Carboplatin	3	1	4	50	30	64
Control	3	1	0	0	4	81
Control	3	1	0	0	8	96
Control	3	1	0	0	1	83
Control	3	1	0	0	8	68
Control	3	1	0	0	10	76
Control	3	1	0	0	9	98
Control	3	1	0	0	6	86
Control	3	1	0	0	10	86
Control	3	1	0	0	14	94
Control	3	1	4	0	10	59
Control	3	1	4	0	8	71
Control	3	1	4	0	7	73
Control	3	1	4	0	16	68
Control	3	1	4	0	16	58
Control	3	1	4	0	2	77
Control	3	1	4	0	1	53
Control	3	1	4	0	1	62
Control	3	1	4	0	1	36
Paclitaxel	3	1	4	50	5	1
Paclitaxel	3	1	4	50	3	1
Paclitaxel	3	1	4	50	2	1
Paclitaxel	3	1	4	50	4	1
Paclitaxel	3	1	4	50	1	1
Paclitaxel	3	1	4	50	2	1
Paclitaxel	3	1	4	50	1	1
Paclitaxel	3	1	4	50	3	1
SG	3	1	4	1	12	64
SG	3	1	4	1	55	65
SG	3	1	4	1	43	48
SG	3	1	4	1	45	48
SG	3	1	4	1	61	76
SG	3	1	4	1	52	53
SG	3	1	4	1	48	61
SG	3	1	4	1	41	68
SG	3	1	4	1	49	70
T-DXd	3	1	4	1	25	79
T-DXd	3	1	4	1	37	77
T-DXd	3	1	4	1	32	59
T-DXd	3	1	4	1	24	59
T-DXd	3	1	4	1	20	58
T-DXd	3	1	4	1	7	55
T-DXd	3	1	4	1	3	40
T-DXd	3	1	4	1	1	41
T-DXd	3	1	4	1	1	31
5FU	3	1	4	50	4	17
5FU	3	1	4	50	58	15
5FU	3	1	4	50	49	11
5FU	3	1	4	50	58	13
Carboplatin	3	1	4	50	15	77
Carboplatin	3	1	4	50	1	20
Carboplatin	3	1	4	50	3	23
Carboplatin	3	1	4	50	1	43
Carboplatin	3	1	4	50	5	73
Carboplatin	3	1	4	50	3	53
Carboplatin	3	1	4	50	8	47
Control	3	1	0	0	10	81
Control	3	1	0	0	16	91
Control	3	1	0	0	7	114
Control	3	1	0	0	7	87
Control	3	1	0	0	10	102
Control	3	1	4	0	1	34
Control	3	1	4	0	1	50
Control	3	1	4	0	1	57
Control	3	1	4	0	1	59
Control	3	1	4	0	1	60
Control	3	1	4	0	1	64
Control	3	2	4	0	1	51
Control	3	2	4	0	1	60
Control	3	2	4	0	1	57
Control	3	2	4	0	1	42
Control	3	2	4	0	2	32
Paclitaxel	3	1	4	50	15	77
Paclitaxel	3	1	4	50	1	20
Paclitaxel	3	1	4	50	3	23
Paclitaxel	3	1	4	50	1	43
Paclitaxel	3	1	4	50	5	73
Paclitaxel	3	1	4	50	3	53
Paclitaxel	3	1	4	50	8	47
Control	1	1	0	0	214	80
Control	1	1	0	0	210	88
Control	1	1	0	0	204	74
Control	1	1	0	0	211	87
Control	1	1	0	0	223	80
Control	1	1	0	0	195	65
Control	1	1	0	0	206	64
Control	1	1	0	0	217	79
Control	1	1	0	0	190	68
Control	1	1	1	0	50	27
Control	1	1	1	0	57	31
Control	1	1	1	0	53	35
Control	1	1	1	0	40	31
Control	1	1	1	0	44	25
Control	1	1	1	0	38	22
Control	1	1	1	0	39	24
Control	1	1	1	0	43	32
Control	1	1	1	0	53	33
Control	1	1	4	0	13	2
Control	1	1	4	0	30	17
Control	1	1	4	0	18	10
Control	1	1	4	0	31	10
Control	1	1	4	0	20	6
Control	1	1	4	0	14	3
Control	1	1	1	0	26	9
Control	1	1	4	0	28	9
Control	1	1	4	0	30	12
Control	1	1	0	0	192	70
Control	1	1	0	0	140	70
Control	1	1	0	0	199	46
Control	1	1	0	0	93	46
Control	1	1	0	0	147	50
Control	1	1	0	0	124	49
Control	1	1	0	0	143	46
Control	1	1	0	0	149	46
Control	1	1	0	0	176	67
Control	1	2	0	0	127	49
Control	1	2	0	0	124	63
Control	1	2	0	0	178	53
Control	1	2	0	0	199	44
Control	1	2	0	0	163	56
