Drug	Tumor	Replica	Day	Concentration	N_Dead	N_Live
Control	1	1	0	0	203	238
Control	1	1	0	0	198	263
Control	1	1	0	0	197	271
Control	1	1	0	0	179	250
Control	1	1	0	0	186	260
Control	1	1	0	0	93	175
Control	1	1	0	0	206	250
Control	1	1	0	0	180	267
Control	1	1	0	0	207	247
Control	1	2	1	0	127	191
Control	1	2	1	0	106	165
Control	1	2	1	0	74	145
Control	1	2	1	0	50	127
Control	1	2	1	0	40	120
Control	1	2	1	0	23	98
Control	1	2	1	0	4	71
Control	1	2	1	0	4	76
Control	1	2	1	0	34	97
Control	1	1	2	0	120	124
Control	1	1	2	0	62	94
Control	1	1	2	0	58	89
Control	1	1	2	0	89	161
Control	1	1	2	0	74	158
Control	1	1	2	0	59	130
Control	1	1	2	0	50	74
Control	1	1	2	0	62	74
Control	1	1	2	0	31	33
Control	1	1	3	0	195	250
Control	1	1	3	0	226	267
Control	1	1	3	0	201	233
Control	1	1	3	0	212	246
Control	1	1	3	0	215	249
Control	1	1	3	0	96	131
Control	1	1	3	0	76	106
Control	1	1	3	0	85	111
Control	1	1	3	0	95	114
Control	1	1	4	0	224	227
Control	1	1	4	0	223	241
Control	1	1	4	0	261	273
Control	1	1	4	0	251	272
Control	1	1	4	0	251	269
Control	1	1	4	0	230	256
Control	1	1	4	0	254	263
Control	1	1	4	0	238	255
Control	1	1	4	0	215	220
Control	1	2	0	0	237	1
Control	1	2	0	0	146	270
Control	1	2	0	0	204	244
Control	1	2	0	0	182	273
Control	1	2	0	0	173	255
Control	1	2	0	0	159	272
Control	1	2	0	0	209	299
Control	1	2	0	0	171	256
Control	1	2	0	0	205	260
Control	1	2	0	0	191	247
Control	1	2	2	0	40	70
Control	1	2	2	0	43	87
Control	1	2	2	0	27	93
Control	1	2	2	0	55	171
Control	1	2	2	0	79	222
Control	1	2	2	0	75	178
Control	1	2	2	0	196	352
Control	1	2	2	0	104	210
Control	1	2	3	0	223	1
Control	1	2	3	0	238	1
Control	1	2	3	0	73	80
Control	1	2	3	0	68	96
Control	1	2	3	0	90	115
Control	1	2	3	0	91	100
Control	1	2	3	0	85	111
Control	1	2	3	0	97	123
Control	1	2	3	0	115	144
Control	1	2	3	0	104	116
Control	1	2	3	0	213	246
Control	1	2	4	0	7	35
Control	1	2	4	0	24	139
Control	1	2	4	0	30	131
Control	1	2	4	0	42	122
Control	1	2	4	0	38	114
Control	1	2	4	0	28	117
Control	1	2	4	0	37	112
Control	1	2	4	0	47	155
Control	1	2	4	0	73	147
Control	2	1	0	0	26	98
Control	2	1	0	0	15	70
Control	2	1	0	0	14	73
Control	2	1	0	0	14	91
Control	2	1	0	0	10	92
Control	2	1	0	0	8	73
Control	2	1	0	0	8	57
Control	2	1	0	0	15	100
Control	2	1	0	0	17	81
Control	2	1	1	0	119	143
Control	2	1	1	0	147	149
Control	2	1	1	0	120	144
Control	2	1	1	0	79	170
Control	2	1	1	0	81	153
Control	2	1	1	0	74	161
Control	2	1	1	0	77	146
Control	2	1	1	0	46	151
Control	2	1	1	0	43	117
Control	2	1	2	0	30	139
Control	2	1	2	0	56	153
Control	2	1	2	0	59	162
Control	2	1	2	0	61	148
Control	2	1	2	0	44	133
Control	2	1	2	0	54	154
Control	2	1	2	0	51	152
Control	2	1	2	0	39	122
Control	2	1	2	0	61	145
Control	2	1	3	0	53	1
Control	2	1	3	0	151	153
Control	2	1	3	0	154	159
Control	2	1	3	0	149	143
Control	2	1	3	0	116	164
Control	2	1	3	0	82	123
Control	2	1	3	0	83	134
Control	2	1	3	0	69	131
Control	2	1	3	0	39	103
Control	2	1	3	0	43	99
Control	2	2	0	0	119	1
Control	2	2	0	0	16	87
Control	2	2	0	0	14	71
Control	2	2	0	0	14	81
Control	2	2	0	0	20	101
Control	2	2	0	0	18	85
Control	2	2	0	0	12	75
Control	2	2	0	0	16	67
Control	2	2	0	0	19	82
Control	2	2	0	0	48	99
