Image	Total_DAPI	Positive_EdU	Index_Proliferation_Percent	Tumor	Replica
Exp300-20X_10_	60	2	3.33	BC173	1
Exp300-20X_11_	26	1	3.85	BC173	1
Exp300-20X_1_	25	2	8.00	BC173	1
Exp300-20X_2_	20	1	5.00	BC173	1
Exp300-20X_3_	43	0	0.00	BC173	1
Exp300-20X_4_	37	0	0.00	BC173	1
Exp300-20X_5_	40	1	2.50	BC173	1
Exp300-20X_6_	29	1	3.45	BC173	1
Exp300-20X_7_	42	0	0.00	BC173	1
Exp300-20X_8_	35	1	2.86	BC173	1
Exp300-20X_9_	52	2	3.85	BC173	1
Exp300-20X_1_	18	0	0.00	BC173	2
Exp300-20X_2_	22	2	9.09	BC173	2
Exp300-20X_3_	40	1	2.50	BC173	2
Exp300-20X_4_	35	3	8.57	BC173	2
Exp300-20X_5_	44	2	4.55	BC173	2
Exp300-20X_6_	24	1	4.17	BC173	2
Exp300-20X_7_	44	0	0.00	BC173	2
Exp300-20X_8_	44	3	6.82	BC173	2
Exp300-20X_9_	41	3	7.32	BC173	2
Exp300-20X_1_	66	3	4.55	BC1258	1
Exp300-20X_2_	20	0	0.00	BC1258	1
Exp300-20X_3_	89	4	4.49	BC1258	1
Exp300-20X_4_	77	2	2.60	BC1258	1
Exp300-20X_5_	72	0	0.00	BC1258	1
Exp300-20X_6_	77	3	3.90	BC1258	1
Exp300-20X_7_	90	7	7.78	BC1258	1
Exp300-20X_8_	86	5	5.81	BC1258	1
Exp300-20X_9_	87	1	1.15	BC1258	1
Exp300-20X_10_	66	5	7.58	BC1258	1
Exp300-20X_1_	84	6	7.14	BC1258	2
Exp300-20X_2_	68	2	2.94	BC1258	2
Exp300-20X_3_	83	0	0.00	BC1258	2
Exp300-20X_4_	76	2	2.63	BC1258	2
Exp300-20X_5_	53	2	3.77	BC1258	2
Exp300-20X_6_	28	1	3.57	BC1258	2
Exp300-20X_7_	69	4	5.80	BC1258	2
Exp300-20X_8_	56	2	3.57	BC1258	2
Exp300-20X_9_	51	3	5.88	BC1258	2
