Drug	Tumor	Replica	Day	Concentration	Number_dead	Number_live
Control	20	1	0	0	20	269
Control	20	1	0	0	37	247
Control	20	1	0	0	31	258
Control	20	1	0	0	27	239
Control	20	1	0	0	20	216
Control	20	1	0	0	17	204
Control	20	1	0	0	20	210
Control	20	1	0	0	20	205
Control	20	1	0	0	20	239
Control	20	2	0	0	33	245
Control	20	2	0	0	22	216
Control	20	2	0	0	12	197
Control	20	2	0	0	20	211
Control	20	2	0	0	14	183
Control	20	2	0	0	15	206
Control	20	2	0	0	18	214
Control	20	2	0	0	18	209
Control	20	2	0	0	35	196
Control	20	1	2	0	19	83
Control	20	1	2	0	34	99
Control	20	1	2	0	34	97
Control	20	1	2	0	55	96
Control	20	1	2	0	54	80
Control	20	1	2	0	33	84
Control	20	1	2	0	50	71
Control	20	1	2	0	58	99
Control	20	1	2	0	71	111
Control	20	2	2	0	165	177
Control	20	2	2	0	144	151
Control	20	2	2	0	149	141
Control	20	2	2	0	138	162
Control	20	2	2	0	172	143
Control	20	2	2	0	115	166
Control	20	2	2	0	200	182
Control	20	2	2	0	113	152
Control	20	2	2	0	144	170
5FU	20	1	2	1	20	39
5FU	20	1	2	1	20	41
5FU	20	1	2	1	14	43
5FU	20	1	2	1	26	72
5FU	20	1	2	1	106	126
5FU	20	1	2	1	101	131
5FU	20	1	2	1	110	135
5FU	20	1	2	1	69	119
5FU	20	1	2	1	101	133
5FU	20	2	2	1	80	110
5FU	20	2	2	1	107	142
5FU	20	2	2	1	115	120
5FU	20	2	2	1	87	121
5FU	20	2	2	1	109	141
5FU	20	2	2	1	136	156
5FU	20	2	2	1	109	146
5FU	20	2	2	1	101	122
5FU	20	2	2	1	57	96
5FU	20	1	2	10	87	143
5FU	20	1	2	10	62	118
5FU	20	1	2	10	78	130
5FU	20	1	2	10	58	130
5FU	20	1	2	10	79	122
5FU	20	1	2	10	79	117
5FU	20	1	2	10	76	122
5FU	20	1	2	10	59	95
5FU	20	1	2	10	80	130
5FU	20	2	2	10	81	144
5FU	20	2	2	10	75	131
5FU	20	2	2	10	63	104
5FU	20	2	2	10	49	105
5FU	20	2	2	10	64	112
5FU	20	2	2	10	43	106
5FU	20	2	2	10	55	131
5FU	20	2	2	10	54	100
5FU	20	2	2	10	64	141
5FU	20	1	2	20	82	93
5FU	20	1	2	20	56	131
5FU	20	1	2	20	76	133
5FU	20	1	2	20	77	123
5FU	20	1	2	20	67	103
5FU	20	1	2	20	95	139
5FU	20	1	2	20	105	124
5FU	20	1	2	20	128	145
5FU	20	1	2	20	139	147
5FU	20	2	2	20	128	132
5FU	20	2	2	20	120	121
5FU	20	2	2	20	141	136
5FU	20	2	2	20	110	139
5FU	20	2	2	20	148	117
5FU	20	2	2	20	113	136
5FU	20	2	2	20	104	112
5FU	20	2	2	20	98	134
5FU	20	2	2	20	88	119
5FU	20	1	2	50	97	88
5FU	20	1	2	50	108	108
5FU	20	1	2	50	94	127
5FU	20	1	2	50	138	125
5FU	20	1	2	50	154	135
5FU	20	1	2	50	139	118
5FU	20	1	2	50	173	132
5FU	20	1	2	50	226	164
5FU	20	1	2	50	139	114
Control	20	1	3	0	256	284
Control	20	1	3	0	95	158
Control	20	1	3	0	63	139
Control	20	1	3	0	42	136
Control	20	1	3	0	28	130
Control	20	1	3	0	10	119
Control	20	1	3	0	13	105
Control	20	1	3	0	17	114
Control	20	1	3	0	42	107
Control	20	2	3	0	36	157
Control	20	2	3	0	28	179
Control	20	2	3	0	31	163
Control	20	2	3	0	55	146
Control	20	2	3	0	43	166
Control	20	2	3	0	55	159
Control	20	2	3	0	58	169
Control	20	2	3	0	59	186
Control	20	2	3	0	69	172
5FU	20	1	3	1	62	130
5FU	20	1	3	1	19	124
5FU	20	1	3	1	6	93
5FU	20	1	3	1	6	95
5FU	20	1	3	1	5	110
5FU	20	1	3	1	6	61
5FU	20	1	3	1	7	56
5FU	20	1	3	1	7	50
5FU	20	2	3	1	63	124
5FU	20	2	3	1	58	160
5FU	20	2	3	1	84	159
5FU	20	2	3	1	68	156
5FU	20	2	3	1	68	156
5FU	20	2	3	1	80	183
5FU	20	2	3	1	113	187
5FU	20	2	3	1	53	144
5FU	20	3	3	1	46	133
5FU	20	3	3	1	63	117
5FU	20	3	3	1	53	131
5FU	20	3	3	1	51	134
5FU	20	3	3	1	39	129
5FU	20	3	3	1	51	129
5FU	20	3	3	1	28	125
5FU	20	3	3	1	28	84
5FU	20	3	3	1	24	95
5FU	20	1	3	10	43	115
5FU	20	1	3	10	43	115
5FU	20	1	3	10	26	75
5FU	20	1	3	10	40	76
5FU	20	1	3	10	20	64
5FU	20	1	3	10	12	36
5FU	20	1	3	10	15	37
5FU	20	1	3	10	13	37
5FU	20	2	3	10	62	69
5FU	20	2	3	10	38	116
5FU	20	2	3	10	7	89
5FU	20	2	3	10	9	126
5FU	20	2	3	10	18	135
5FU	20	2	3	10	22	100
5FU	20	2	3	10	24	156
5FU	20	2	3	10	59	160
5FU	20	2	3	10	81	155
5FU	20	1	3	20	93	160
5FU	20	1	3	20	136	113
5FU	20	1	3	20	183	99
5FU	20	1	3	20	65	118
5FU	20	1	3	20	57	85
5FU	20	1	3	20	55	104
5FU	20	1	3	20	58	79
5FU	20	1	3	20	66	94
5FU	20	1	3	20	158	118
5FU	20	2	3	20	97	81
5FU	20	2	3	20	47	84
5FU	20	2	3	20	25	55
5FU	20	2	3	20	42	97
5FU	20	2	3	20	35	83
5FU	20	2	3	20	30	115
5FU	20	2	3	20	44	80
5FU	20	2	3	20	42	89
5FU	20	2	3	20	102	95
5FU	20	1	3	50	54	105
5FU	20	1	3	50	110	120
5FU	20	1	3	50	102	102
5FU	20	1	3	50	171	114
5FU	20	1	3	50	145	107
5FU	20	1	3	50	170	126
5FU	20	1	3	50	125	123
5FU	20	1	3	50	135	112
5FU	20	1	3	50	169	114
5FU	20	2	3	50	137	96
5FU	20	2	3	50	199	101
5FU	20	2	3	50	176	118
5FU	20	2	3	50	148	141
5FU	20	2	3	50	151	111
5FU	20	2	3	50	148	137
5FU	20	2	3	50	173	117
5FU	20	2	3	50	167	142
5FU	20	2	3	50	165	111
Control	20	1	4	0	28	111
Control	20	1	4	0	28	91
Control	20	1	4	0	14	73
Control	20	1	4	0	13	66
Control	20	1	4	0	9	68
Control	20	1	4	0	9	78
Control	20	1	4	0	41	68
Control	20	1	4	0	26	69
Control	20	1	4	0	20	63
Control	20	2	4	0	39	64
Control	20	2	4	0	19	63
Control	20	2	4	0	11	59
Control	20	2	4	0	22	50
Control	20	2	4	0	35	43
Control	20	2	4	0	32	36
Control	20	2	4	0	23	55
Control	20	2	4	0	37	64
Control	20	2	4	0	42	75
5FU	20	1	4	1	142	90
5FU	20	1	4	1	99	85
5FU	20	1	4	1	112	76
5FU	20	1	4	1	102	96
5FU	20	1	4	1	98	73
5FU	20	1	4	1	87	63
5FU	20	1	4	1	46	76
5FU	20	1	4	1	83	65
5FU	20	1	4	1	109	82
5FU	20	2	4	1	63	67
5FU	20	2	4	1	38	62
5FU	20	2	4	1	24	58
5FU	20	2	4	1	31	54
5FU	20	2	4	1	32	72
5FU	20	2	4	1	48	50
5FU	20	2	4	1	70	76
5FU	20	2	4	1	73	76
5FU	20	2	4	1	32	31
5FU	20	1	4	10	246	140
5FU	20	1	4	10	232	116
5FU	20	1	4	10	212	133
5FU	20	1	4	10	170	130
5FU	20	1	4	10	206	136
5FU	20	1	4	10	225	120
5FU	20	1	4	10	157	106
5FU	20	1	4	10	139	96
5FU	20	1	4	10	182	113
5FU	20	2	4	10	79	56
5FU	20	2	4	10	44	72
5FU	20	2	4	10	34	69
5FU	20	2	4	10	44	82
5FU	20	2	4	10	59	94
5FU	20	2	4	10	102	83
5FU	20	2	4	10	87	92
5FU	20	2	4	10	64	77
5FU	20	2	4	10	90	78
5FU	20	1	4	20	43	61
5FU	20	1	4	20	81	59
5FU	20	1	4	20	51	52
5FU	20	1	4	20	38	71
5FU	20	1	4	20	55	50
5FU	20	1	4	20	47	63
5FU	20	1	4	20	41	63
5FU	20	1	4	20	41	72
5FU	20	1	4	20	53	55
5FU	20	2	4	20	178	92
5FU	20	2	4	20	114	82
5FU	20	2	4	20	132	75
5FU	20	2	4	20	101	76
5FU	20	2	4	20	93	58
5FU	20	2	4	20	78	64
5FU	20	2	4	20	51	61
5FU	20	2	4	20	62	78
5FU	20	2	4	20	115	72
5FU	20	1	4	50	77	38
5FU	20	1	4	50	61	36
5FU	20	1	4	50	67	52
5FU	20	1	4	50	71	41
5FU	20	1	4	50	52	39
5FU	20	1	4	50	92	35
5FU	20	1	4	50	104	42
5FU	20	1	4	50	92	35
5FU	20	2	4	50	151	36
Control	21	1	0	0	17	306
Control	21	1	0	0	11	235
Control	21	1	0	0	2	284
Control	21	1	0	0	7	297
Control	21	1	0	0	3	263
Control	21	1	0	0	3	252
Control	21	1	0	0	5	277
Control	21	1	0	0	8	316
Control	21	1	0	0	11	272
Control	21	2	0	0	11	272
Control	21	2	0	0	6	284
Control	21	2	0	0	7	323
Control	21	2	0	0	4	314
Control	21	2	0	0	16	310
Control	21	2	0	0	5	275
Control	21	2	0	0	9	312
Control	21	2	0	0	9	313
Control	21	2	0	0	14	321
Control	21	1	1	0	89	280
Control	21	1	1	0	82	282
Control	21	1	1	0	86	243
Control	21	1	1	0	91	273
Control	21	1	1	0	65	262
Control	21	1	1	0	63	231
Control	21	1	1	0	86	251
Control	21	1	1	0	57	234
Control	21	1	1	0	80	241
Control	21	2	1	0	11	117
Control	21	2	1	0	21	148
Control	21	2	1	0	19	152
Control	21	2	1	0	30	156
Control	21	2	1	0	31	161
Control	21	2	1	0	28	175
Control	21	2	1	0	28	206
Control	21	2	1	0	27	163
Control	21	2	1	0	25	193
5FU	21	1	1	1	33	184
5FU	21	1	1	1	21	192
5FU	21	1	1	1	26	198
5FU	21	1	1	1	19	186
5FU	21	1	1	1	13	163
5FU	21	1	1	1	22	150
5FU	21	1	1	1	15	173
5FU	21	1	1	1	16	164
5FU	21	1	1	1	24	163
5FU	21	2	1	1	74	239
5FU	21	2	1	1	62	202
5FU	21	2	1	1	46	188
5FU	21	2	1	1	61	231
5FU	21	2	1	1	63	219
5FU	21	2	1	1	65	203
5FU	21	2	1	1	62	216
5FU	21	2	1	1	63	223
5FU	21	2	1	1	70	229
5FU	21	1	1	10	118	256
5FU	21	1	1	10	71	208
5FU	21	1	1	10	133	240
5FU	21	1	1	10	87	218
5FU	21	1	1	10	92	224
