Drug	Tumor	Replica	Day	Concentration	Number_dead	Number_live
Control	25	1	0	0	81	181
Control	25	1	0	0	67	203
Control	25	1	0	0	68	209
Control	25	1	0	0	59	198
Control	25	1	0	0	62	209
Control	25	1	0	0	66	205
Control	25	1	0	0	58	215
Control	25	1	0	0	81	220
Control	25	1	0	0	66	182
Control	25	2	0	0	79	242
Control	25	2	0	0	95	218
Control	25	2	0	0	81	233
Control	25	2	0	0	55	201
Control	25	2	0	0	45	222
Control	25	2	0	0	63	195
Control	25	2	0	0	67	231
Control	25	2	0	0	71	239
Control	25	1	2	0	160	280
Control	25	1	2	0	250	338
Control	25	1	2	0	241	336
Control	25	1	2	0	363	431
Control	25	1	2	0	272	410
Control	25	1	2	0	194	344
Control	25	1	2	0	231	323
Control	25	1	2	0	221	272
Control	25	1	2	0	210	281
Control	25	2	2	0	51	228
Control	25	2	2	0	73	223
Control	25	2	2	0	55	195
Control	25	2	2	0	55	197
Control	25	2	2	0	68	232
Control	25	2	2	0	163	260
Control	25	2	2	0	163	327
Control	25	2	2	0	198	371
Control	25	2	2	0	192	357
PTX	25	1	2	1	196	363
PTX	25	1	2	1	178	327
PTX	25	1	2	1	152	313
PTX	25	1	2	1	101	274
PTX	25	1	2	10	270	255
PTX	25	1	2	10	146	237
PTX	25	1	2	10	60	195
PTX	25	2	2	10	259	263
PTX	25	2	2	10	203	207
PTX	25	2	2	10	148	207
PTX	25	2	2	10	130	174
PTX	25	2	2	10	243	227
PTX	25	2	2	10	222	183
PTX	25	2	2	10	135	214
PTX	25	2	2	10	144	209
PTX	25	2	2	10	181	209
PTX	25	1	2	20	299	225
PTX	25	1	2	20	258	196
PTX	25	1	2	20	224	189
PTX	25	1	2	20	229	173
PTX	25	1	2	20	227	174
PTX	25	1	2	20	165	138
PTX	25	1	2	20	132	122
PTX	25	1	2	20	152	105
PTX	25	1	2	20	138	95
PTX	25	2	2	20	221	152
PTX	25	2	2	20	171	142
PTX	25	2	2	20	208	159
PTX	25	2	2	20	241	244
