Drug	Tumor	Replica	Day	Concentration	Number_dead	Number_live
Control	26	1	0	0	549	885
Control	26	1	0	0	576	879
Control	26	1	0	0	536	843
Control	26	1	0	0	551	745
Control	26	1	0	0	463	772
Control	26	1	0	0	602	880
Control	26	1	0	0	589	877
Control	26	1	0	0	650	876
Control	26	1	0	0	622	851
Control	26	2	0	0	512	874
Control	26	2	0	0	420	803
Control	26	2	0	0	497	872
Control	26	2	0	0	517	910
Control	26	2	0	0	475	927
Control	26	2	0	0	460	856
Control	26	2	0	0	484	863
Control	26	2	0	0	511	811
Control	26	2	0	0	471	866
Control	26	1	2	0	253	346
Control	26	1	2	0	207	345
Control	26	1	2	0	138	327
Control	26	1	2	0	145	335
Control	26	1	2	0	123	291
Control	26	1	2	0	284	322
Control	26	1	2	0	334	357
Control	26	1	2	0	364	321
Control	26	1	2	0	355	390
Control	26	2	2	0	331	506
Control	26	2	2	0	304	470
Control	26	2	2	0	282	460
Control	26	2	2	0	232	419
Control	26	2	2	0	237	404
Control	26	2	2	0	170	368
Control	26	2	2	0	186	325
Control	26	2	2	0	195	309
Carboplatin	26	1	2	10	147	194
Carboplatin	26	1	2	10	92	132
Carboplatin	26	1	2	10	84	132
Carboplatin	26	1	2	10	121	175
Carboplatin	26	1	2	10	129	157
Carboplatin	26	1	2	10	116	152
Carboplatin	26	1	2	10	117	163
Carboplatin	26	1	2	10	150	175
Carboplatin	26	1	2	10	213	183
Carboplatin	26	1	2	10	252	286
Carboplatin	26	1	2	10	359	337
Carboplatin	26	1	2	10	240	246
Carboplatin	26	1	2	10	255	277
Carboplatin	26	1	2	10	269	246
Carboplatin	26	1	2	10	146	199
Carboplatin	26	1	2	10	147	208
Carboplatin	26	1	2	10	99	253
Carboplatin	26	1	2	10	91	259
Carboplatin	26	1	2	20	134	97
Carboplatin	26	1	2	20	82	118
Carboplatin	26	1	2	20	81	131
Carboplatin	26	1	2	20	89	153
Carboplatin	26	1	2	20	93	196
Carboplatin	26	1	2	20	115	210
Carboplatin	26	1	2	20	145	239
Carboplatin	26	1	2	20	178	261
Carboplatin	26	1	2	20	272	281
Carboplatin	26	2	2	20	348	375
Carboplatin	26	2	2	20	343	355
Carboplatin	26	2	2	20	309	351
Carboplatin	26	2	2	20	315	330
Carboplatin	26	2	2	20	345	311
Carboplatin	26	2	2	20	332	341
