Drug	Tumor	Replica	Day	Concentration	Number_dead	Number_live
Control	19	1	0	0	44	391
Control	19	1	0	0	30	342
Control	19	1	0	0	16	324
Control	19	1	0	0	17	308
Control	19	1	0	0	12	281
Control	19	1	0	0	15	287
Control	19	1	0	0	13	323
Control	19	1	0	0	4	332
Control	19	1	0	0	13	304
Control	19	2	0	0	54	338
Control	19	2	0	0	45	302
Control	19	2	0	0	30	342
Control	19	2	0	0	37	306
Control	19	2	0	0	35	336
Control	19	2	0	0	53	309
Control	19	2	0	0	61	341
Control	19	2	0	0	81	291
Control	19	2	0	0	98	326
Control	19	1	1	0	17	211
Control	19	1	1	0	17	232
Control	19	1	1	0	14	204
Control	19	1	1	0	11	197
Control	19	1	1	0	14	210
Control	19	1	1	0	13	158
Control	19	1	1	0	7	145
Control	19	1	1	0	14	180
Control	19	1	1	0	11	75
Control	19	2	1	0	2	173
Control	19	2	1	0	16	135
Control	19	2	1	0	17	125
Control	19	2	1	0	20	131
Control	19	2	1	0	34	165
Control	19	2	1	0	21	162
Control	19	2	1	0	35	185
Control	19	2	1	0	37	167
Control	19	2	1	0	60	212
Cisplatin	19	1	1	1	73	152
Cisplatin	19	1	1	1	83	224
Cisplatin	19	1	1	1	82	176
Cisplatin	19	1	1	1	96	169
Cisplatin	19	1	1	1	103	209
Cisplatin	19	1	1	1	78	193
Cisplatin	19	1	1	1	72	192
Cisplatin	19	1	1	1	49	172
Cisplatin	19	1	1	1	53	186
Cisplatin	19	2	1	1	13	162
Cisplatin	19	2	1	1	18	172
Cisplatin	19	2	1	1	19	177
Cisplatin	19	2	1	1	31	179
Cisplatin	19	2	1	1	40	167
Cisplatin	19	2	1	1	46	176
Cisplatin	19	2	1	1	43	159
Cisplatin	19	2	1	1	63	182
Cisplatin	19	2	1	1	68	182
Cisplatin	19	1	1	10	78	255
Cisplatin	19	1	1	10	52	182
Cisplatin	19	1	1	10	65	221
Cisplatin	19	1	1	10	27	175
Cisplatin	19	1	1	10	53	229
Cisplatin	19	1	1	10	43	196
Cisplatin	19	1	1	10	34	171
Cisplatin	19	1	1	10	37	213
Cisplatin	19	2	1	10	26	162
Cisplatin	19	2	1	10	1	126
Cisplatin	19	2	1	10	3	109
Cisplatin	19	2	1	10	2	115
Cisplatin	19	2	1	10	5	170
Cisplatin	19	2	1	10	3	138
Cisplatin	19	2	1	10	8	159
Cisplatin	19	2	1	10	22	217
Cisplatin	19	2	1	10	49	200
Cisplatin	19	1	1	20	62	170
Cisplatin	19	1	1	20	86	183
Cisplatin	19	1	1	20	49	182
Cisplatin	19	1	1	20	32	151
Cisplatin	19	1	1	20	63	178
Cisplatin	19	1	1	20	45	188
Cisplatin	19	1	1	20	53	207
Cisplatin	19	1	1	20	41	174
Cisplatin	19	1	1	20	41	205
Cisplatin	19	2	1	20	29	211
Cisplatin	19	2	1	20	35	222
Cisplatin	19	2	1	20	31	191
Cisplatin	19	2	1	20	47	201
Cisplatin	19	2	1	20	53	197
Cisplatin	19	2	1	20	52	213
Cisplatin	19	2	1	20	61	228
Cisplatin	19	2	1	20	65	210
Cisplatin	19	2	1	20	74	251
Cisplatin	19	1	1	50	89	237
Cisplatin	19	1	1	50	99	177
Cisplatin	19	1	1	50	102	153
Cisplatin	19	1	1	50	62	144
Cisplatin	19	1	1	50	46	168
Cisplatin	19	1	1	50	48	149
Cisplatin	19	1	1	50	41	147
Cisplatin	19	1	1	50	41	209
Cisplatin	19	1	1	50	78	229
Control	19	1	2	0	15	130
Control	19	1	2	0	83	147
